version,rayon_m,croissance_m_h,fenetre_h,seuil,evenements,detections,singletons,singletons_pct,detections_etayees_pct,multi_capteurs_pct,plus_gros,diagonale_max_km,duree_mediane_h,secondes
calib-r1000-w6-s0.20,1000,500,6,0.2,2479,16544,613,25,82,0,93,5.7,1.7,207.0
calib-r1000-w6-s0.35,1000,500,6,0.35,3001,16544,729,24,77,0,62,5.2,1.7,236.1
calib-r1000-w6-s0.50,1000,500,6,0.5,4241,16544,1157,27,62,0,29,3.9,1.1,286.8
calib-r1000-w6-s0.65,1000,500,6,0.65,7390,16544,3613,49,30,0,20,3.3,0.9,458.7
calib-r1000-w12-s0.20,1000,500,12,0.2,2194,16544,587,27,84,0,141,7.5,0.9,196.3
calib-r1000-w12-s0.35,1000,500,12,0.35,2989,16544,707,24,78,0,61,5.2,1.7,230.0
calib-r1000-w12-s0.50,1000,500,12,0.5,4182,16544,1054,25,63,0,29,3.9,1.7,295.2
calib-r1000-w12-s0.65,1000,500,12,0.65,6850,16544,2949,43,32,0,19,3.3,0.9,453.3
calib-r1000-w24-s0.20,1000,500,24,0.2,931,16544,333,36,94,0,764,17.4,1.7,117.6
calib-r1000-w24-s0.35,1000,500,24,0.35,1132,16544,365,32,93,0,620,11.6,1.7,128.8
calib-r1000-w24-s0.50,1000,500,24,0.5,2565,16544,691,27,79,0,225,8.0,1.7,205.7
calib-r1000-w24-s0.65,1000,500,24,0.65,6731,16544,2803,42,33,0,19,3.3,1.7,425.7
calib-r1000-w48-s0.20,1000,500,48,0.2,540,16544,206,38,97,0,2264,20.0,23.7,103.1
calib-r1000-w48-s0.35,1000,500,48,0.35,729,16544,241,33,96,0,1160,20.0,23.7,113.9
calib-r1000-w48-s0.50,1000,500,48,0.5,1227,16544,367,30,93,0,533,10.1,12.3,141.6
calib-r1000-w48-s0.65,1000,500,48,0.65,3016,16544,1154,38,76,0,538,5.6,1.7,226.9
calib-r1500-w6-s0.20,1500,500,6,0.2,1877,16544,476,25,88,0,170,7.5,1.7,175.8
calib-r1500-w6-s0.35,1500,500,6,0.35,2152,16544,539,25,85,0,121,7.5,1.7,183.1
calib-r1500-w6-s0.50,1500,500,6,0.5,2669,16544,687,26,81,0,86,5.7,0.9,217.0
calib-r1500-w6-s0.65,1500,500,6,0.65,4188,16544,1330,32,65,0,41,4.1,0.9,296.6
calib-r1500-w12-s0.20,1500,500,12,0.2,1646,16544,455,28,89,0,199,8.7,0.9,154.6
calib-r1500-w12-s0.35,1500,500,12,0.35,2144,16544,527,25,86,0,121,7.5,1.7,182.2
calib-r1500-w12-s0.50,1500,500,12,0.5,2638,16544,651,25,81,0,86,5.7,1.7,215.0
calib-r1500-w12-s0.65,1500,500,12,0.65,3970,16544,1083,27,66,0,37,3.9,1.1,277.5
calib-r1500-w24-s0.20,1500,500,24,0.2,764,16544,303,40,94,0,1579,17.5,0.9,108.7
calib-r1500-w24-s0.35,1500,500,24,0.35,848,16544,313,37,94,0,1526,13.2,0.9,120.9
calib-r1500-w24-s0.50,1500,500,24,0.5,1507,16544,436,29,90,0,516,9.5,1.7,165.2
calib-r1500-w24-s0.65,1500,500,24,0.65,3925,16544,1011,26,67,0,35,3.9,1.7,280.7
calib-r1500-w48-s0.20,1500,500,48,0.2,436,16544,196,45,97,0,2275,22.1,14.4,95.6
calib-r1500-w48-s0.35,1500,500,48,0.35,539,16544,215,40,97,0,1327,16.0,23.7,98.4
calib-r1500-w48-s0.50,1500,500,48,0.5,754,16544,285,38,96,0,622,11.8,13.1,110.1
calib-r1500-w48-s0.65,1500,500,48,0.65,1590,16544,471,30,89,0,611,9.9,1.7,153.0
calib-r2000-w6-s0.20,2000,500,6,0.2,1555,16544,400,26,90,0,313,9.9,1.7,152.2
calib-r2000-w6-s0.35,2000,500,6,0.35,1776,16544,465,26,88,0,174,7.5,1.7,161.0
calib-r2000-w6-s0.50,2000,500,6,0.5,2137,16544,553,26,85,0,127,7.5,0.9,184.7
calib-r2000-w6-s0.65,2000,500,6,0.65,2973,16544,840,28,77,0,86,5.1,0.9,228.6
calib-r2000-w12-s0.20,2000,500,12,0.2,1379,16544,393,28,91,0,353,13.7,0.9,143.6
calib-r2000-w12-s0.35,2000,500,12,0.35,1769,16544,458,26,88,0,170,7.5,1.7,168.8
calib-r2000-w12-s0.50,2000,500,12,0.5,2121,16544,534,25,86,0,121,7.5,1.7,182.6
calib-r2000-w12-s0.65,2000,500,12,0.65,2861,16544,733,26,79,0,86,5.1,1.7,218.9
calib-r2000-w24-s0.20,2000,500,24,0.2,690,16544,298,43,95,0,2088,21.2,0.9,99.3
calib-r2000-w24-s0.35,2000,500,24,0.35,756,16544,304,40,95,0,1985,13.2,0.9,104.4
calib-r2000-w24-s0.50,2000,500,24,0.5,1160,16544,376,32,92,0,1414,13.2,1.7,128.7
