version,rayon_m,croissance_m_h,fenetre_h,seuil,evenements,detections,singletons,singletons_pct,detections_etayees_pct,multi_capteurs_pct,plus_gros,diagonale_max_km,duree_mediane_h,secondes
calib-r1000-w6-s0.20,1000,500,6,0.2,229,932,114,50,70,9,49,4.5,0.9,1.9
calib-r1000-w6-s0.35,1000,500,6,0.35,258,932,129,50,66,10,32,4.5,0.9,1.7
calib-r1000-w6-s0.50,1000,500,6,0.5,322,932,174,54,56,7,26,3.2,0.9,1.9
calib-r1000-w6-s0.65,1000,500,6,0.65,440,932,262,60,34,4,13,2.1,0.9,2.2
calib-r1000-w12-s0.20,1000,500,12,0.2,185,932,88,48,75,17,66,5.4,0.9,1.5
calib-r1000-w12-s0.35,1000,500,12,0.35,216,932,109,50,71,16,48,5.2,0.9,2.1
calib-r1000-w12-s0.50,1000,500,12,0.5,288,932,147,51,61,12,39,3.2,0.9,1.9
calib-r1000-w12-s0.65,1000,500,12,0.65,418,932,232,56,36,6,12,2.1,0.9,2.5
calib-r1000-w24-s0.20,1000,500,24,0.2,151,932,73,48,80,17,124,8.1,1.1,1.8
calib-r1000-w24-s0.35,1000,500,24,0.35,174,932,84,48,78,20,107,5.4,1.3,1.7
calib-r1000-w24-s0.50,1000,500,24,0.5,229,932,113,49,71,18,58,4.4,1.3,2.5
calib-r1000-w24-s0.65,1000,500,24,0.65,368,932,188,51,43,13,18,2.8,1.1,2.2
calib-r1000-w48-s0.20,1000,500,48,0.2,98,932,52,53,90,23,91,13.2,14.9,1.4
calib-r1000-w48-s0.35,1000,500,48,0.35,113,932,59,52,89,27,72,10.3,14.6,1.6
calib-r1000-w48-s0.50,1000,500,48,0.5,171,932,83,49,83,28,89,5.4,9.5,1.8
calib-r1000-w48-s0.65,1000,500,48,0.65,286,932,141,49,61,19,45,3.8,1.7,2.0
calib-r1500-w6-s0.20,1500,500,6,0.2,197,932,92,47,72,9,90,6.6,0.9,1.7
calib-r1500-w6-s0.35,1500,500,6,0.35,216,932,106,49,70,8,81,5.9,0.9,2.1
calib-r1500-w6-s0.50,1500,500,6,0.5,248,932,127,51,68,8,32,4.5,0.9,2.1
calib-r1500-w6-s0.65,1500,500,6,0.65,321,932,182,57,55,5,26,3.2,0.9,2.2
calib-r1500-w12-s0.20,1500,500,12,0.2,171,932,84,49,76,14,172,6.7,0.9,1.8
calib-r1500-w12-s0.35,1500,500,12,0.35,183,932,89,49,74,14,153,6.7,0.9,1.8
calib-r1500-w12-s0.50,1500,500,12,0.5,229,932,116,51,70,10,70,5.0,0.9,2.0
calib-r1500-w12-s0.65,1500,500,12,0.65,303,932,165,54,59,8,26,3.2,0.9,2.0
calib-r1500-w24-s0.20,1500,500,24,0.2,141,932,69,49,80,13,135,11.3,0.9,1.6
calib-r1500-w24-s0.35,1500,500,24,0.35,146,932,73,50,79,12,171,7.6,0.9,1.6
calib-r1500-w24-s0.50,1500,500,24,0.5,179,932,92,51,77,16,164,10.1,0.9,1.6
calib-r1500-w24-s0.65,1500,500,24,0.65,258,932,128,50,64,16,39,3.2,1.0,2.2
calib-r1500-w48-s0.20,1500,500,48,0.2,92,932,53,58,90,17,250,14.7,11.6,1.4
calib-r1500-w48-s0.35,1500,500,48,0.35,102,932,56,55,89,20,149,7.4,11.6,1.4
calib-r1500-w48-s0.50,1500,500,48,0.5,131,932,67,51,87,23,101,5.7,11.4,1.6
calib-r1500-w48-s0.65,1500,500,48,0.65,206,932,98,48,73,20,96,5.4,1.6,1.7
calib-r2000-w6-s0.20,2000,500,6,0.2,173,932,80,46,74,8,109,9.7,0.9,1.8
